rt	wlen	unigramsurp	subject	docid	sentid	sentpos
681	3	3.0061398	s009	Boar	0	2
1012	3	3.0061398	s016	Boar	0	2
1080	3	3.0061398	s024	Boar	0	2
1211	3	3.0061398	s043	Boar	0	2
1291	3	3.0061398	s052	Boar	0	2
1361	3	3.0061398	s067	Boar	0	2
673	3	3.0061398	s085	Boar	0	2
538	4	2.583027	s009	Boar	0	3
588	4	2.583027	s016	Boar	0	3
857	4	2.583027	s024	Boar	0	3
1042	4	2.583027	s043	Boar	0	3
1212	4	2.583027	s052	Boar	0	3
1458	4	2.583027	s067	Boar	0	3
591	4	2.583027	s085	Boar	0	3
689	2	1.6088771	s009	Boar	0	4
496	2	1.6088771	s016	Boar	0	4
1271	2	1.6088771	s024	Boar	0	4
1088	2	1.6088771	s043	Boar	0	4
884	2	1.6088771	s052	Boar	0	4
835	2	1.6088771	s067	Boar	0	4
908	2	1.6088771	s085	Boar	0	4
1569	7	4.8033147	s009	Boar	0	5
1168	7	4.8033147	s016	Boar	0	5
1296	7	4.8033147	s024	Boar	0	5
1887	7	4.8033147	s043	Boar	0	5
1082	7	4.8033147	s052	Boar	0	5
1154	7	4.8033147	s067	Boar	0	5
732	7	4.8033147	s085	Boar	0	5
655	2	1.6088771	s009	Boar	0	6
459	2	1.6088771	s016	Boar	0	6
928	2	1.6088771	s024	Boar	0	6
1094	2	1.6088771	s043	Boar	0	6
626	2	1.6088771	s052	Boar	0	6
916	2	1.6088771	s067	Boar	0	6
561	2	1.6088771	s085	Boar	0	6
528	3	1.2888894	s009	Boar	0	7
636	3	1.2888894	s016	Boar	0	7
576	3	1.2888894	s024	Boar	0	7
894	3	1.2888894	s043	Boar	0	7
645	3	1.2888894	s052	Boar	0	7
869	3	1.2888894	s067	Boar	0	7
485	3	1.2888894	s085	Boar	0	7
908	5	3.5532773	s009	Boar	0	8
712	5	3.5532773	s016	Boar	0	8
1721	5	3.5532773	s024	Boar	0	8
952	5	3.5532773	s043	Boar	0	8
835	5	3.5532773	s052	Boar	0	8
1308	5	3.5532773	s067	Boar	0	8
536	5	3.5532773	s085	Boar	0	8
1079	2	1.6084222	s009	Boar	0	9
577	2	1.6084222	s016	Boar	0	9
1064	2	1.6084222	s024	Boar	0	9
1688	2	1.6084222	s043	Boar	0	9
816	2	1.6084222	s052	Boar	0	9
622	2	1.6084222	s067	Boar	0	9
698	2	1.6084222	s085	Boar	0	9
889	8	4.5659914	s009	Boar	0	10
652	8	4.5659914	s016	Boar	0	10
927	8	4.5659914	s024	Boar	0	10
657	8	4.5659914	s043	Boar	0	10
773	8	4.5659914	s052	Boar	0	10
825	8	4.5659914	s067	Boar	0	10
733	8	4.5659914	s085	Boar	0	10
702	3	3.0061398	s009	Boar	0	11
675	3	3.0061398	s016	Boar	0	11
736	3	3.0061398	s024	Boar	0	11
846	3	3.0061398	s043	Boar	0	11
507	3	3.0061398	s052	Boar	0	11
793	3	3.0061398	s067	Boar	0	11
632	3	3.0061398	s085	Boar	0	11
466	5	2.6770096	s009	Boar	0	12
624	5	2.6770096	s016	Boar	0	12
848	5	2.6770096	s024	Boar	0	12
869	5	2.6770096	s043	Boar	0	12
566	5	2.6770096	s052	Boar	0	12
824	5	2.6770096	s067	Boar	0	12
617	5	2.6770096	s085	Boar	0	12
1051	4	3.4768355	s009	Boar	0	13
964	4	3.4768355	s016	Boar	0	13
608	4	3.4768355	s024	Boar	0	13
1196	4	3.4768355	s043	Boar	0	13
775	4	3.4768355	s052	Boar	0	13
1063	4	3.4768355	s067	Boar	0	13
685	4	3.4768355	s085	Boar	0	13
541	2	1.6088771	s009	Boar	0	14
649	2	1.6088771	s024	Boar	0	14
670	2	1.6088771	s043	Boar	0	14
606	2	1.6088771	s052	Boar	0	14
672	2	1.6088771	s067	Boar	0	14
675	2	1.6088771	s085	Boar	0	14
935	1	1.6849625	s009	Boar	0	15
1074	1	1.6849625	s016	Boar	0	15
879	1	1.6849625	s024	Boar	0	15
786	1	1.6849625	s043	Boar	0	15
635	1	1.6849625	s052	Boar	0	15
955	1	1.6849625	s067	Boar	0	15
496	1	1.6849625	s085	Boar	0	15
780	6	5.2204657	s009	Boar	0	16
672	6	5.2204657	s016	Boar	0	16
1152	6	5.2204657	s024	Boar	0	16
1652	6	5.2204657	s043	Boar	0	16
824	6	5.2204657	s052	Boar	0	16
859	6	5.2204657	s067	Boar	0	16
649	6	5.2204657	s085	Boar	0	16
604	4	2.069754	s009	Boar	0	17
728	4	2.069754	s016	Boar	0	17
920	4	2.069754	s024	Boar	0	17
1095	4	2.069754	s043	Boar	0	17
536	4	2.069754	s052	Boar	0	17
852	4	2.069754	s067	Boar	0	17
663	4	2.069754	s085	Boar	0	17
617	2	2.16529	s009	Boar	0	18
579	2	2.16529	s016	Boar	0	18
528	2	2.16529	s024	Boar	0	18
844	2	2.16529	s043	Boar	0	18
568	2	2.16529	s052	Boar	0	18
829	2	2.16529	s067	Boar	0	18
560	2	2.16529	s085	Boar	0	18
887	10	4.650025	s009	Boar	0	19
1189	10	4.650025	s016	Boar	0	19
928	10	4.650025	s024	Boar	0	19
1106	10	4.650025	s043	Boar	0	19
763	10	4.650025	s052	Boar	0	19
965	10	4.650025	s067	Boar	0	19
560	10	4.650025	s085	Boar	0	19
413	2	2.3029788	s009	Boar	0	20
560	2	2.3029788	s016	Boar	0	20
938	2	2.3029788	s043	Boar	0	20
441	2	2.3029788	s052	Boar	0	20
634	2	2.3029788	s067	Boar	0	20
550	2	2.3029788	s085	Boar	0	20
1116	5	7.2216263	s009	Boar	0	21
1288	5	7.2216263	s016	Boar	0	21
1104	5	7.2216263	s024	Boar	0	21
1773	5	7.2216263	s043	Boar	0	21
940	5	7.2216263	s052	Boar	0	21
1958	5	7.2216263	s067	Boar	0	21
607	2	2.321949	s009	Boar	0	22
952	2	2.321949	s016	Boar	0	22
688	2	2.321949	s024	Boar	0	22
936	2	2.321949	s043	Boar	0	22
725	2	2.321949	s052	Boar	0	22
671	2	2.321949	s067	Boar	0	22
741	2	2.321949	s085	Boar	0	22
1140	4	3.5241838	s009	Boar	0	23
856	4	3.5241838	s016	Boar	0	23
1089	4	3.5241838	s024	Boar	0	23
1199	4	3.5241838	s043	Boar	0	23
864	4	3.5241838	s052	Boar	0	23
941	4	3.5241838	s067	Boar	0	23
735	4	3.5241838	s085	Boar	0	23
612	2	2.321949	s009	Boar	0	24
