Word_Unique_ID	Text_ID	Word_Number	Sentence_Number	Word_In_Sentence_Number	FullSentence_DocLevelMarked	FullSentence_DocLevel	FullSentence_SentLevelMarked	FullSentence_SentLevel
QID1	1	2	1	2	There *are*	There are	There *are*	There are
QID2	1	3	1	3	There are *now*	There are now	There are *now*	There are now
QID3	1	4	1	4	There are now *rumblings*	There are now rumblings	There are now *rumblings*	There are now rumblings
QID4	1	5	1	5	There are now rumblings *that*	There are now rumblings that	There are now rumblings *that*	There are now rumblings that
QID5	1	6	1	6	There are now rumblings that *Apple*	There are now rumblings that Apple	There are now rumblings that *Apple*	There are now rumblings that Apple
QID6	1	7	1	7	There are now rumblings that Apple *might*	There are now rumblings that Apple might	There are now rumblings that Apple *might*	There are now rumblings that Apple might
QID7	1	8	1	8	There are now rumblings that Apple might *soon*	There are now rumblings that Apple might soon	There are now rumblings that Apple might *soon*	There are now rumblings that Apple might soon
QID8	1	9	1	9	There are now rumblings that Apple might soon *invade*	There are now rumblings that Apple might soon invade	There are now rumblings that Apple might soon *invade*	There are now rumblings that Apple might soon invade
QID9	1	10	1	10	There are now rumblings that Apple might soon invade *the*	There are now rumblings that Apple might soon invade the	There are now rumblings that Apple might soon invade *the*	There are now rumblings that Apple might soon invade the
QID10	1	11	1	11	There are now rumblings that Apple might soon invade the *smart*	There are now rumblings that Apple might soon invade the smart	There are now rumblings that Apple might soon invade the *smart*	There are now rumblings that Apple might soon invade the smart
QID11	1	12	1	12	There are now rumblings that Apple might soon invade the smart *watch*	There are now rumblings that Apple might soon invade the smart watch	There are now rumblings that Apple might soon invade the smart *watch*	There are now rumblings that Apple might soon invade the smart watch
QID12	1	13	1	13	There are now rumblings that Apple might soon invade the smart watch *space,*	There are now rumblings that Apple might soon invade the smart watch space,	There are now rumblings that Apple might soon invade the smart watch *space,*	There are now rumblings that Apple might soon invade the smart watch space,
QID13	1	14	1	14	There are now rumblings that Apple might soon invade the smart watch space, *though*	There are now rumblings that Apple might soon invade the smart watch space, though	There are now rumblings that Apple might soon invade the smart watch space, *though*	There are now rumblings that Apple might soon invade the smart watch space, though
