Dataset	ModelName	ModelArchitecture	ModelSize	Surprisal_AIC
Boyce & Levy (2023): Maze RT	mamba-130m-hf	mamba	129135360	133277.0200286161
Boyce & Levy (2023): Maze RT	mamba-1_4b-hf	mamba	1372178432	133758.01067183682
Boyce & Levy (2023): Maze RT	mamba-2_8b-hf	mamba	2768345600	134089.30789420335
Boyce & Levy (2023): Maze RT	mamba-370m-hf	mamba	371516416	133408.71552066435
Boyce & Levy (2023): Maze RT	mamba-790m-hf	mamba	793204224	133653.15683371897
Boyce & Levy (2023): Maze RT	pythia-160m	pythia	162322944	133358.62416500566
Boyce & Levy (2023): Maze RT	pythia-1_4b	pythia	1414647808	133772.9409124548
Boyce & Levy (2023): Maze RT	pythia-1b	pythia	1011781632	133564.3836218335
Boyce & Levy (2023): Maze RT	pythia-2_8b	pythia	2775208960	133831.9358297153
Boyce & Levy (2023): Maze RT	pythia-410m	pythia	405334016	133470.69476026698
Boyce & Levy (2023): Maze RT	rwkv-4-169m-pile	rwkv	169342464	133497.82491838557
Boyce & Levy (2023): Maze RT	rwkv-4-1b5-pile	rwkv	1515106304	133723.27770895933
Boyce & Levy (2023): Maze RT	rwkv-4-3b-pile	rwkv	2984627200	134029.52205165257
Boyce & Levy (2023): Maze RT	rwkv-4-430m-pile	rwkv	430397440	133530.6474722303
Brothers & Kuperberg (2021): 3W-RT	mamba-130m-hf	mamba	129135360	85913.30816999885
Brothers & Kuperberg (2021): 3W-RT	mamba-1_4b-hf	mamba	1372178432	85887.23631487148
Brothers & Kuperberg (2021): 3W-RT	mamba-2_8b-hf	mamba	2768345600	85884.18520189548
Brothers & Kuperberg (2021): 3W-RT	mamba-370m-hf	mamba	371516416	85880.25707471173
Brothers & Kuperberg (2021): 3W-RT	mamba-790m-hf	mamba	793204224	85880.6923419972
Brothers & Kuperberg (2021): 3W-RT	pythia-160m	pythia	162322944	85930.44018728274
Brothers & Kuperberg (2021): 3W-RT	pythia-1_4b	pythia	1414647808	85873.66746642944
Brothers & Kuperberg (2021): 3W-RT	pythia-1b	pythia	1011781632	85896.40343652575
Brothers & Kuperberg (2021): 3W-RT	pythia-2_8b	pythia	2775208960	85889.87355507199
Brothers & Kuperberg (2021): 3W-RT	pythia-410m	pythia	405334016	85906.90332112393
Brothers & Kuperberg (2021): 3W-RT	rwkv-4-169m-pile	rwkv	169342464	85905.68512856487
Brothers & Kuperberg (2021): 3W-RT	rwkv-4-1b5-pile	rwkv	1515106304	85896.48734339527
Brothers & Kuperberg (2021): 3W-RT	rwkv-4-3b-pile	rwkv	2984627200	85883.0413924792
Brothers & Kuperberg (2021): 3W-RT	rwkv-4-430m-pile	rwkv	430397440	85888.8855190896
Federmeier et al. (2007)	mamba-130m-hf	mamba	129135360	18470.24027427651
Federmeier et al. (2007)	mamba-1_4b-hf	mamba	1372178432	18415.337012354703
Federmeier et al. (2007)	mamba-2_8b-hf	mamba	2768345600	18422.270321266864
Federmeier et al. (2007)	mamba-370m-hf	mamba	371516416	18449.444270176067
Federmeier et al. (2007)	mamba-790m-hf	mamba	793204224	18441.473668930637
Federmeier et al. (2007)	pythia-160m	pythia	162322944	18488.01639856015
Federmeier et al. (2007)	pythia-1_4b	pythia	1414647808	18423.22351182177
Federmeier et al. (2007)	pythia-1b	pythia	1011781632	18444.1372660284
Federmeier et al. (2007)	pythia-2_8b	pythia	2775208960	18436.168430724516
Federmeier et al. (2007)	pythia-410m	pythia	405334016	18457.122903895044
Federmeier et al. (2007)	rwkv-4-169m-pile	rwkv	169342464	18466.33224983839
Federmeier et al. (2007)	rwkv-4-1b5-pile	rwkv	1515106304	18425.643689842895
Federmeier et al. (2007)	rwkv-4-3b-pile	rwkv	2984627200	18420.400635812468
Federmeier et al. (2007)	rwkv-4-430m-pile	rwkv	430397440	18452.76925599748
Futrell et al. (2021): SPR RT	mamba-130m-hf	mamba	129135360	1849197.9659072503
Futrell et al. (2021): SPR RT	mamba-1_4b-hf	mamba	1372178432	1849523.7936623297
Futrell et al. (2021): SPR RT	mamba-2_8b-hf	mamba	2768345600	1849690.2392996135
Futrell et al. (2021): SPR RT	mamba-370m-hf	mamba	371516416	1849383.828194574
Futrell et al. (2021): SPR RT	mamba-790m-hf	mamba	793204224	1849409.0062863491
Futrell et al. (2021): SPR RT	pythia-160m	pythia	162322944	1849145.7326958613
Futrell et al. (2021): SPR RT	pythia-1_4b	pythia	1414647808	1849398.81993548
Futrell et al. (2021): SPR RT	pythia-1b	pythia	1011781632	1849338.2635833777
Futrell et al. (2021): SPR RT	pythia-2_8b	pythia	2775208960	1849620.3341002704
Futrell et al. (2021): SPR RT	pythia-410m	pythia	405334016	1849347.3844594583
Futrell et al. (2021): SPR RT	rwkv-4-169m-pile	rwkv	169342464	1849051.0220506291
Futrell et al. (2021): SPR RT	rwkv-4-1b5-pile	rwkv	1515106304	1849571.2577854656
Futrell et al. (2021): SPR RT	rwkv-4-3b-pile	rwkv	2984627200	1849666.0823118717
Futrell et al. (2021): SPR RT	rwkv-4-430m-pile	rwkv	430397440	1849307.4638126025
Hubbard et al. (2019)	mamba-130m-hf	mamba	129135360	13667.181650992256
Hubbard et al. (2019)	mamba-1_4b-hf	mamba	1372178432	13653.301054152678
Hubbard et al. (2019)	mamba-2_8b-hf	mamba	2768345600	13655.906190502286
Hubbard et al. (2019)	mamba-370m-hf	mamba	371516416	13656.066956236064
Hubbard et al. (2019)	mamba-790m-hf	mamba	793204224	13658.749759980265
Hubbard et al. (2019)	pythia-160m	pythia	162322944	13678.45290100681
Hubbard et al. (2019)	pythia-1_4b	pythia	1414647808	13653.570488058143
Hubbard et al. (2019)	pythia-1b	pythia	1011781632	13653.90902448885
Hubbard et al. (2019)	pythia-2_8b	pythia	2775208960	13660.841281760097
Hubbard et al. (2019)	pythia-410m	pythia	405334016	13669.355846285362
Hubbard et al. (2019)	rwkv-4-169m-pile	rwkv	169342464	13672.611015183787
Hubbard et al. (2019)	rwkv-4-1b5-pile	rwkv	1515106304	13659.313062971083
Hubbard et al. (2019)	rwkv-4-3b-pile	rwkv	2984627200	13652.333679617868
Hubbard et al. (2019)	rwkv-4-430m-pile	rwkv	430397440	13663.237726016345
Kennedy et al. (2003): GPD	mamba-130m-hf	mamba	129135360	524244.7627337201
Kennedy et al. (2003): GPD	mamba-1_4b-hf	mamba	1372178432	524635.2294284424
Kennedy et al. (2003): GPD	mamba-2_8b-hf	mamba	2768345600	524698.4917507312
Kennedy et al. (2003): GPD	mamba-370m-hf	mamba	371516416	524409.9751343993
Kennedy et al. (2003): GPD	mamba-790m-hf	mamba	793204224	524610.9046247669
Kennedy et al. (2003): GPD	pythia-160m	pythia	162322944	524057.0615163712
Kennedy et al. (2003): GPD	pythia-1_4b	pythia	1414647808	524515.4813833849
Kennedy et al. (2003): GPD	pythia-1b	pythia	1011781632	524430.8562898121
Kennedy et al. (2003): GPD	pythia-2_8b	pythia	2775208960	524595.525681242
Kennedy et al. (2003): GPD	pythia-410m	pythia	405334016	524347.9570915222
Kennedy et al. (2003): GPD	rwkv-4-169m-pile	rwkv	169342464	524216.892502806
Kennedy et al. (2003): GPD	rwkv-4-1b5-pile	rwkv	1515106304	524609.2020919633
Kennedy et al. (2003): GPD	rwkv-4-3b-pile	rwkv	2984627200	524694.545966257
Kennedy et al. (2003): GPD	rwkv-4-430m-pile	rwkv	430397440	524432.469381337
Luke & Christianson (2018): GPD	mamba-130m-hf	mamba	129135360	281001.5700506347
Luke & Christianson (2018): GPD	mamba-1_4b-hf	mamba	1372178432	281169.5846664289
Luke & Christianson (2018): GPD	mamba-2_8b-hf	mamba	2768345600	281205.3731786567
Luke & Christianson (2018): GPD	mamba-370m-hf	mamba	371516416	281113.1668865784
Luke & Christianson (2018): GPD	mamba-790m-hf	mamba	793204224	281168.3485948807
Luke & Christianson (2018): GPD	pythia-160m	pythia	162322944	280954.57055504376
Luke & Christianson (2018): GPD	pythia-1_4b	pythia	1414647808	281145.6507447083
Luke & Christianson (2018): GPD	pythia-1b	pythia	1011781632	281050.80494251545
Luke & Christianson (2018): GPD	pythia-2_8b	pythia	2775208960	281164.8755732735
Luke & Christianson (2018): GPD	pythia-410m	pythia	405334016	281033.28241841326
Luke & Christianson (2018): GPD	rwkv-4-169m-pile	rwkv	169342464	280997.3548166177
Luke & Christianson (2018): GPD	rwkv-4-1b5-pile	rwkv	1515106304	281170.0305019719
Luke & Christianson (2018): GPD	rwkv-4-3b-pile	rwkv	2984627200	281237.5130896776
Luke & Christianson (2018): GPD	rwkv-4-430m-pile	rwkv	430397440	281034.0003938917
Michaelov et al. (2024)	mamba-130m-hf	mamba	129135360	135505.47954778263
Michaelov et al. (2024)	mamba-1_4b-hf	mamba	1372178432	135514.97040136368
Michaelov et al. (2024)	mamba-2_8b-hf	mamba	2768345600	135515.68715136766
Michaelov et al. (2024)	mamba-370m-hf	mamba	371516416	135521.60078750033
Michaelov et al. (2024)	mamba-790m-hf	mamba	793204224	135523.9382140792
Michaelov et al. (2024)	pythia-160m	pythia	162322944	135508.89821160113
Michaelov et al. (2024)	pythia-1_4b	pythia	1414647808	135520.4642542846
Michaelov et al. (2024)	pythia-1b	pythia	1011781632	135517.2554838322
Michaelov et al. (2024)	pythia-2_8b	pythia	2775208960	135516.7879507637
Michaelov et al. (2024)	pythia-410m	pythia	405334016	135524.81438867468
Michaelov et al. (2024)	rwkv-4-169m-pile	rwkv	169342464	135535.7222056893
Michaelov et al. (2024)	rwkv-4-1b5-pile	rwkv	1515106304	135508.52964659396
Michaelov et al. (2024)	rwkv-4-3b-pile	rwkv	2984627200	135509.80384996952
Michaelov et al. (2024)	rwkv-4-430m-pile	rwkv	430397440	135531.50963249925
Smith and Levy (2013): SPR RT	mamba-130m-hf	mamba	129135360	283082.21396286314
Smith and Levy (2013): SPR RT	mamba-1_4b-hf	mamba	1372178432	283111.4223165667
Smith and Levy (2013): SPR RT	mamba-2_8b-hf	mamba	2768345600	283120.5842553935
Smith and Levy (2013): SPR RT	mamba-370m-hf	mamba	371516416	283112.7202115283
Smith and Levy (2013): SPR RT	mamba-790m-hf	mamba	793204224	283107.5186128496
Smith and Levy (2013): SPR RT	pythia-160m	pythia	162322944	283077.2677167555
Smith and Levy (2013): SPR RT	pythia-1_4b	pythia	1414647808	283115.40476235695
Smith and Levy (2013): SPR RT	pythia-1b	pythia	1011781632	283109.4858475723
Smith and Levy (2013): SPR RT	pythia-2_8b	pythia	2775208960	283114.14518392115
Smith and Levy (2013): SPR RT	pythia-410m	pythia	405334016	283101.14290526486
Smith and Levy (2013): SPR RT	rwkv-4-169m-pile	rwkv	169342464	283118.0514290041
Smith and Levy (2013): SPR RT	rwkv-4-1b5-pile	rwkv	1515106304	283107.48391617835
Smith and Levy (2013): SPR RT	rwkv-4-3b-pile	rwkv	2984627200	283112.9626838341
Smith and Levy (2013): SPR RT	rwkv-4-430m-pile	rwkv	430397440	283111.7390150456
Szewczyk & Federmeier (2022)	mamba-130m-hf	mamba	129135360	9828.4496625035
Szewczyk & Federmeier (2022)	mamba-1_4b-hf	mamba	1372178432	9825.671319491768
Szewczyk & Federmeier (2022)	mamba-2_8b-hf	mamba	2768345600	9824.681174498935
Szewczyk & Federmeier (2022)	mamba-370m-hf	mamba	371516416	9827.903781598654
Szewczyk & Federmeier (2022)	mamba-790m-hf	mamba	793204224	9825.42970656188
Szewczyk & Federmeier (2022)	pythia-160m	pythia	162322944	9832.978362974907
Szewczyk & Federmeier (2022)	pythia-1_4b	pythia	1414647808	9823.95071623699
Szewczyk & Federmeier (2022)	pythia-1b	pythia	1011781632	9827.963756770623
Szewczyk & Federmeier (2022)	pythia-2_8b	pythia	2775208960	9827.127810630924
Szewczyk & Federmeier (2022)	pythia-410m	pythia	405334016	9832.793808866669
Szewczyk & Federmeier (2022)	rwkv-4-169m-pile	rwkv	169342464	9830.105281018645
Szewczyk & Federmeier (2022)	rwkv-4-1b5-pile	rwkv	1515106304	9828.173762730146
Szewczyk & Federmeier (2022)	rwkv-4-3b-pile	rwkv	2984627200	9819.93194916419
Szewczyk & Federmeier (2022)	rwkv-4-430m-pile	rwkv	430397440	9828.238051644274
Szewczyk et al. (2022)	mamba-130m-hf	mamba	129135360	12034.896929962046
Szewczyk et al. (2022)	mamba-1_4b-hf	mamba	1372178432	12044.19542101751
Szewczyk et al. (2022)	mamba-2_8b-hf	mamba	2768345600	12043.56407925952
Szewczyk et al. (2022)	mamba-370m-hf	mamba	371516416	12038.700337871716
Szewczyk et al. (2022)	mamba-790m-hf	mamba	793204224	12042.355521056175
Szewczyk et al. (2022)	pythia-160m	pythia	162322944	12050.243066720888
Szewczyk et al. (2022)	pythia-1_4b	pythia	1414647808	12040.508036410962
Szewczyk et al. (2022)	pythia-1b	pythia	1011781632	12043.56938976316
Szewczyk et al. (2022)	pythia-2_8b	pythia	2775208960	12041.79434266606
Szewczyk et al. (2022)	pythia-410m	pythia	405334016	12042.778615196905
