Dataset	ModelName	ModelArchitecture	ModelSize	Surprisal_AIC
Boyce & Levy (2023): Maze RT	mamba-130m-hf	mamba	129135360	133277.0200286161
Boyce & Levy (2023): Maze RT	mamba-1_4b-hf	mamba	1372178432	133758.01067183682
Boyce & Levy (2023): Maze RT	mamba-2_8b-hf	mamba	2768345600	134089.30789420335
Boyce & Levy (2023): Maze RT	mamba-370m-hf	mamba	371516416	133408.71552066435
Boyce & Levy (2023): Maze RT	mamba-790m-hf	mamba	793204224	133653.15683371897
Boyce & Levy (2023): Maze RT	pythia-160m	pythia	162322944	133358.62416500566
Boyce & Levy (2023): Maze RT	pythia-1_4b	pythia	1414647808	133772.9409124548
Boyce & Levy (2023): Maze RT	pythia-1b	pythia	1011781632	133564.3836218335
Boyce & Levy (2023): Maze RT	pythia-2_8b	pythia	2775208960	133831.9358297153
Boyce & Levy (2023): Maze RT	pythia-410m	pythia	405334016	133470.69476026698
Boyce & Levy (2023): Maze RT	rwkv-4-169m-pile	rwkv	169342464	133497.82491838557
Boyce & Levy (2023): Maze RT	rwkv-4-1b5-pile	rwkv	1515106304	133723.27770895933
Boyce & Levy (2023): Maze RT	rwkv-4-3b-pile	rwkv	2984627200	134029.52205165257
Boyce & Levy (2023): Maze RT	rwkv-4-430m-pile	rwkv	430397440	133530.6474722303
