Dataset	ModelName	ModelArchitecture	ModelSize	Surprisal_AIC
Michaelov et al. (2024)	mamba-130m-hf	mamba	129135360	135505.47954778263
Michaelov et al. (2024)	mamba-1_4b-hf	mamba	1372178432	135514.97040136368
Michaelov et al. (2024)	mamba-2_8b-hf	mamba	2768345600	135515.68715136766
Michaelov et al. (2024)	mamba-370m-hf	mamba	371516416	135521.60078750033
Michaelov et al. (2024)	mamba-790m-hf	mamba	793204224	135523.9382140792
Michaelov et al. (2024)	pythia-160m	pythia	162322944	135508.89821160113
Michaelov et al. (2024)	pythia-1_4b	pythia	1414647808	135520.4642542846
Michaelov et al. (2024)	pythia-1b	pythia	1011781632	135517.2554838322
Michaelov et al. (2024)	pythia-2_8b	pythia	2775208960	135516.7879507637
Michaelov et al. (2024)	pythia-410m	pythia	405334016	135524.81438867468
Michaelov et al. (2024)	rwkv-4-169m-pile	rwkv	169342464	135535.7222056893
Michaelov et al. (2024)	rwkv-4-1b5-pile	rwkv	1515106304	135508.52964659396
Michaelov et al. (2024)	rwkv-4-3b-pile	rwkv	2984627200	135509.80384996952
Michaelov et al. (2024)	rwkv-4-430m-pile	rwkv	430397440	135531.50963249925
