Dataset	ModelName	ModelArchitecture	ModelSize	Surprisal_AIC
Federmeier et al. (2007)	mamba-130m-hf	mamba	129135360	18470.24027427651
Federmeier et al. (2007)	mamba-1_4b-hf	mamba	1372178432	18415.337012354703
Federmeier et al. (2007)	mamba-2_8b-hf	mamba	2768345600	18422.270321266864
Federmeier et al. (2007)	mamba-370m-hf	mamba	371516416	18449.444270176067
Federmeier et al. (2007)	mamba-790m-hf	mamba	793204224	18441.473668930637
Federmeier et al. (2007)	pythia-160m	pythia	162322944	18488.01639856015
Federmeier et al. (2007)	pythia-1_4b	pythia	1414647808	18423.22351182177
Federmeier et al. (2007)	pythia-1b	pythia	1011781632	18444.1372660284
Federmeier et al. (2007)	pythia-2_8b	pythia	2775208960	18436.168430724516
Federmeier et al. (2007)	pythia-410m	pythia	405334016	18457.122903895044
Federmeier et al. (2007)	rwkv-4-169m-pile	rwkv	169342464	18466.33224983839
Federmeier et al. (2007)	rwkv-4-1b5-pile	rwkv	1515106304	18425.643689842895
Federmeier et al. (2007)	rwkv-4-3b-pile	rwkv	2984627200	18420.400635812468
Federmeier et al. (2007)	rwkv-4-430m-pile	rwkv	430397440	18452.76925599748
Hubbard et al. (2019)	mamba-130m-hf	mamba	129135360	13667.181650992257
Hubbard et al. (2019)	mamba-1_4b-hf	mamba	1372178432	13653.301054152678
Hubbard et al. (2019)	mamba-2_8b-hf	mamba	2768345600	13655.906190502286
Hubbard et al. (2019)	mamba-370m-hf	mamba	371516416	13656.066956236064
Hubbard et al. (2019)	mamba-790m-hf	mamba	793204224	13658.749759980263
Hubbard et al. (2019)	pythia-160m	pythia	162322944	13678.45290100681
Hubbard et al. (2019)	pythia-1_4b	pythia	1414647808	13653.570488058143
Hubbard et al. (2019)	pythia-1b	pythia	1011781632	13653.90902448885
Hubbard et al. (2019)	pythia-2_8b	pythia	2775208960	13660.841281760097
Hubbard et al. (2019)	pythia-410m	pythia	405334016	13669.355846285362
Hubbard et al. (2019)	rwkv-4-169m-pile	rwkv	169342464	13672.611015183787
Hubbard et al. (2019)	rwkv-4-1b5-pile	rwkv	1515106304	13659.313062971083
Hubbard et al. (2019)	rwkv-4-3b-pile	rwkv	2984627200	13652.333679617868
Hubbard et al. (2019)	rwkv-4-430m-pile	rwkv	430397440	13663.237726016343
Szewczyk & Federmeier (2022)	mamba-130m-hf	mamba	129135360	9828.449662503499
Szewczyk & Federmeier (2022)	mamba-1_4b-hf	mamba	1372178432	9825.671319491768
Szewczyk & Federmeier (2022)	mamba-2_8b-hf	mamba	2768345600	9824.681174498935
